,description,label
441,The bookmarks bar is not recalculated after installing an extension,True
442,quote() fails when explicitly disabling features in JS build,True
443,[Mobile SDK] Sketch out the API,False
444,Re-implement Places Autocomplete results timing telemetry,False
445,Hook up the new Address Bar to BrowserUsageTelemetry.jsm or re-implement,False
446,Crash in ExpandedPrincipal::SubsumesInternal,True
447,Migrate add-on studies from remote action storage,False
448,ci-admin unit tests failing,True
449,Teach |mach bootstrap| for Fennec to find the JDK on its own on Gentoo,False
450,Show time in flame graph in performance devtools,False
451,Remove MinGW-gcc build jobs from -central,False
452,Migrate baseMenuOverlay.dtd to Fluent,False
453,Startup crash for local fuzzing builds when running libfuzzer,True
454,Send and Bookmarks Icons in Menu do not resize (Reproducible),True
455,Did not receive Try push notification emails,True
456,"'Security wrapper denied access to property ""supportedNetworks""' of BasicCardRequest but access to the containing object is allowed",True
457,Revamp about:buildconfig,False
458,Support final AV1 MP4 MIME type,False
459,Browser Console locks up the browser under heavy load,True
460,Addon menu items disappear frequently,True
461,The startup process time has doubled from ESR 52.9 to ESR 60.2,True
462,Proxy Auto configuration file issue with Version 62.0 on Mac OS (only),True
463,Use new ADB extension in WebIDE,False
464,libxul.so related segfaults when firefox is killed during #1491318,True
465,Implement webRequest.onActionIgnored,False
466,Update pdf.js to version 2.0.854,False
467,Remove the XPCOM registration for nsNativeAppSupportBase,False
468,Use clang 7final to build firefox & clang-tidy,False
469,Ensure engines with overridden telemetry names correctly report their validation results,False
470,[meta] Rewrite the internal configuration user interface (“about:config”) using web technologies,False
471,Create an HTML mockup for the internal configuration user interface,False
472,"Add telemetry to improve the understanding of current ""about:config"" usage patterns",False
473,[meta] Reduce useless about:blank document creation,False
474,Remove tmpDir initialization from InitOSFileConstants,False
475,Consider Node.js tooling for minifying JavaScript,False
476,[meta] Fission for the front-end,False
477,Add eMudhra Technologies Limited root certificates to NSS,False
478,Remove old updates UI,False
479,Require rust 1.31,False
480,Add support for nested GeckoRuntimeSettings,False
481,privatebrowsing support for find api,False
482,about:support is not localized any more,True
483,Pref on ASR Snippets for 65 Beta and Release,False
484,Build compiler-rt libs for android x86 and aarch64,False
485,Enable Activate the Whatnew page on Nightly for a day,False
486,"[Content Blocking] Blue label from Tracking list in ""Show site information"" is hardly visible on High Contrast mode",True
487,"Flexbox layout panel doesn't get populated  when an element dynamically gets ""display:flex"" styling via e.g. media query starting to apply",True
488,DnD not working tabs and text Nightly 66,True
489,Add documentation for about:debugging tests,False
490,Perma dt browser/base/content/test/static/browser_parsable_css.js | Got error message for chrome://devtools/skin/webconsole.css: Unknown property ‘overflow-anchor’. Declaration dropped. - when Gecko 66 merges to Beta on 2019-01-21,True
491,Extend the lifetime of some more performance probes to never expire,False
492,Use debian9 build image for running the profile in 3-tier PGO for linux,False
493,Wikipedia searchplugin for zh-TW is broken,True
