,label,description
438,True,Crash in IPCError-browser | ShutDownKill
439,True,Invalid CH.legacy_version is not rejected in TLS 1.3
440,True,Extra space is displayed in Custom Tab toolbar
441,True,The bookmarks bar is not recalculated after installing an extension
442,True,quote() fails when explicitly disabling features in JS build
443,False,[Mobile SDK] Sketch out the API
444,False,Re-implement Places Autocomplete results timing telemetry
445,False,Hook up the new Address Bar to BrowserUsageTelemetry.jsm or re-implement
446,True,Crash in ExpandedPrincipal::SubsumesInternal
447,False,Migrate add-on studies from remote action storage
448,True,ci-admin unit tests failing
449,False,Teach |mach bootstrap| for Fennec to find the JDK on its own on Gentoo
450,False,Show time in flame graph in performance devtools
451,False,Remove MinGW-gcc build jobs from -central
452,False,Migrate baseMenuOverlay.dtd to Fluent
453,True,Startup crash for local fuzzing builds when running libfuzzer
454,True,Send and Bookmarks Icons in Menu do not resize (Reproducible)
455,True,Did not receive Try push notification emails
456,True,"'Security wrapper denied access to property ""supportedNetworks""' of BasicCardRequest but access to the containing object is allowed"
457,False,Revamp about:buildconfig
458,False,Support final AV1 MP4 MIME type
459,True,Browser Console locks up the browser under heavy load
460,True,Addon menu items disappear frequently
461,True,The startup process time has doubled from ESR 52.9 to ESR 60.2
462,True,Proxy Auto configuration file issue with Version 62.0 on Mac OS (only)
463,False,Use new ADB extension in WebIDE
464,True,libxul.so related segfaults when firefox is killed during #1491318
465,False,Implement webRequest.onActionIgnored
466,False,Update pdf.js to version 2.0.854
467,False,Remove the XPCOM registration for nsNativeAppSupportBase
468,False,Use clang 7final to build firefox & clang-tidy
469,False,Ensure engines with overridden telemetry names correctly report their validation results
470,False,[meta] Rewrite the internal configuration user interface (“about:config”) using web technologies
471,False,Create an HTML mockup for the internal configuration user interface
472,False,"Add telemetry to improve the understanding of current ""about:config"" usage patterns"
473,False,[meta] Reduce useless about:blank document creation
474,False,Remove tmpDir initialization from InitOSFileConstants
475,False,Consider Node.js tooling for minifying JavaScript
476,False,[meta] Fission for the front-end
477,False,Add eMudhra Technologies Limited root certificates to NSS
478,False,Remove old updates UI
479,False,Require rust 1.31
480,False,Add support for nested GeckoRuntimeSettings
481,False,privatebrowsing support for find api
482,True,about:support is not localized any more
483,False,Pref on ASR Snippets for 65 Beta and Release
484,False,Build compiler-rt libs for android x86 and aarch64
485,False,Enable Activate the Whatnew page on Nightly for a day
486,True,"[Content Blocking] Blue label from Tracking list in ""Show site information"" is hardly visible on High Contrast mode"
487,True,"Flexbox layout panel doesn't get populated  when an element dynamically gets ""display:flex"" styling via e.g. media query starting to apply"
488,True,DnD not working tabs and text Nightly 66
489,False,Add documentation for about:debugging tests
490,True,Perma dt browser/base/content/test/static/browser_parsable_css.js | Got error message for chrome://devtools/skin/webconsole.css: Unknown property ‘overflow-anchor’. Declaration dropped. - when Gecko 66 merges to Beta on 2019-01-21
491,False,Extend the lifetime of some more performance probes to never expire
492,False,Use debian9 build image for running the profile in 3-tier PGO for linux
493,True,Wikipedia searchplugin for zh-TW is broken
